# omnipath=1.0.12 graph=19845n/284496e genes=184 in_omnipath=166
gene,in_omnipath,out_degree,in_degree,degree,pagerank,betweenness
AARS,False,,,,,
AHR,True,212.0,59.0,271.0,0.00016628566360843563,0.0007696407147735202
ARHGAP22,True,3.0,12.0,15.0,2.619408139659385e-05,5.318981385609419e-08
ARID1A,True,17.0,28.0,45.0,3.6417945897852314e-05,1.702271225714927e-05
ARRDC3,True,0.0,14.0,14.0,2.3331190756278802e-05,0.0
ASCC3,True,0.0,4.0,4.0,2.305926898511397e-05,0.0
ATL1,True,1.0,7.0,8.0,2.8864694189285784e-05,1.0705651687149871e-06
ATP5B,False,,,,,
BAK1,True,10.0,69.0,79.0,0.000534323192025534,6.295324997289497e-06
BCL2L11,True,11.0,146.0,157.0,0.0007793385878356659,1.622299185499407e-05
BCORL1,True,4.0,1.0,5.0,1.9128436301540256e-05,4.444219416655477e-08
BHLHE40,True,127.0,75.0,202.0,8.051699676044217e-05,0.00018997722688474496
BPGM,True,0.0,7.0,7.0,1.9526522025638214e-05,0.0
C19orf26,False,,,,,
C3orf72,False,,,,,
CAD,True,1.0,48.0,49.0,0.00019240379027790177,8.574302468776785e-07
CARS,False,,,,,
CBFA2T3,True,4.0,19.0,23.0,4.097058730109133e-05,3.831382161135342e-06
CBL,True,129.0,303.0,432.0,0.0008310490291483541,0.0005774665135801041
CCND3,True,16.0,105.0,121.0,0.00042574843416546637,3.6824136085452645e-05
CDKN1A,True,65.0,516.0,581.0,0.0018086433289927057,0.004575701107469187
CDKN1B,True,27.0,300.0,327.0,0.0011521160236729498,0.0014323003059997274
CDKN1C,True,8.0,65.0,73.0,0.00015553616227105015,4.281009684979008e-06
CEBPA,True,834.0,98.0,932.0,0.00014750835327260607,0.0018751890316376714
CEBPB,True,1132.0,96.0,1228.0,0.00021314075365481413,0.0038301520964257696
CEBPE,True,40.0,23.0,63.0,4.677906824961681e-05,3.3157377178051644e-05
CELF2,True,0.0,18.0,18.0,2.8248868865217934e-05,0.0
CHERP,True,0.0,3.0,3.0,2.0585814767942134e-05,0.0
CITED1,True,5.0,12.0,17.0,2.5233393046713883e-05,4.991746221734472e-08
CKS1B,True,4.0,81.0,85.0,0.0001085763522737946,3.261015452039035e-05
CLDN6,True,0.0,9.0,9.0,6.705857396518489e-05,0.0
CNN1,True,1.0,15.0,16.0,3.8070087864301365e-05,4.8591603940155415e-09
CNNM4,True,0.0,1.0,1.0,1.8649451767278064e-05,0.0
COL1A1,True,53.0,83.0,136.0,0.0003164793905196389,4.061719837454887e-05
COL2A1,True,41.0,62.0,103.0,0.00016117423494711958,3.7611793177069465e-05
COPB1,True,0.0,4.0,4.0,2.533256288987443e-05,0.0
COPZ1,True,0.0,8.0,8.0,2.030473761209518e-05,0.0
CREB1,True,648.0,184.0,832.0,0.0005197797896048327,0.004201019578015124
CSRNP1,True,0.0,5.0,5.0,1.9974459032463992e-05,0.0
DAD1,True,0.0,19.0,19.0,3.404135080170866e-05,0.0
DARS,False,,,,,
DDIT3,True,106.0,82.0,188.0,0.00010847344796718699,0.00016020597781214304
DDOST,True,0.0,13.0,13.0,4.453852479604183e-05,0.0
DDRGK1,True,0.0,2.0,2.0,1.8628180521251524e-05,0.0
DERL2,True,0.0,1.0,1.0,1.8486967611819634e-05,0.0
DHDDS,True,0.0,8.0,8.0,2.005298866846124e-05,0.0
DLX2,True,23.0,14.0,37.0,4.238461347001099e-05,1.1579333588265202e-06
DNAJC19,True,0.0,3.0,3.0,1.9250174430768e-05,0.0
DUSP9,True,9.0,10.0,19.0,2.9730174756925915e-05,2.3950164788092246e-07
EGR1,True,1551.0,125.0,1676.0,0.000222161985378135,0.00535725872704897
EIF2B2,True,5.0,8.0,13.0,0.00010353783645920204,3.491194195746668e-06
EIF2B3,True,4.0,12.0,16.0,0.0001218484783078388,6.39141859382537e-06
EIF2B4,True,6.0,9.0,15.0,9.059299938598223e-05,2.2648916911160665e-06
