dataset,seed,method,perturbation,split,pearson,pearson_delta,l2,approach,label
norman_from_scfoundation,1,scgpt,AHR+FEV,test,0.9683347258029428,0.3979262966479337,7.403042957951447,foundation_model,scGPT|Foundation Models
norman_from_scfoundation,1,scgpt,AHR+KLF1,val,0.9892246314630535,0.1182351972657344,4.764357193698835,foundation_model,scGPT|Foundation Models
norman_from_scfoundation,1,scgpt,BCL2L11+TGFBR2,val,0.9969990981762978,0.2161169723444404,2.651428877690184,foundation_model,scGPT|Foundation Models
norman_from_scfoundation,1,scgpt,BPGM+ZBTB1,test,0.9912967766956013,0.6143743336580488,3.829740058794385,foundation_model,scGPT|Foundation Models
norman_from_scfoundation,1,scgpt,CBL+CNN1,test,0.9808683496642513,0.6716467875416597,6.443645416606257,foundation_model,scGPT|Foundation Models
norman_from_scfoundation,1,scgpt,CBL+PTPN9,val,0.9920911198278768,0.7161899915306363,4.34855966567525,foundation_model,scGPT|Foundation Models
norman_from_scfoundation,1,scgpt,CBL+PTPN12,val,0.9885377120251602,0.6163064037834297,4.650262995496314,foundation_model,scGPT|Foundation Models
norman_from_scfoundation,1,scgpt,CBL+TGFBR2,val,0.9941065916339067,0.5636552677660058,3.187723030498956,foundation_model,scGPT|Foundation Models
norman_from_scfoundation,1,scgpt,CBL+UBASH3B,test,0.9849602844438125,0.721099300829241,5.997857960285375,foundation_model,scGPT|Foundation Models
norman_from_scfoundation,1,scgpt,CDKN1B+CDKN1A,test,0.9901676905280362,0.7048324595886795,4.855972884499688,foundation_model,scGPT|Foundation Models
norman_from_scfoundation,1,scgpt,CDKN1C+CDKN1A,val,0.9892017155662624,0.6865447075901484,4.814283219336484,foundation_model,scGPT|Foundation Models
norman_from_scfoundation,1,scgpt,CDKN1C+CDKN1B,test,0.9917681417841668,0.7125966572077275,4.22273500313743,foundation_model,scGPT|Foundation Models
norman_from_scfoundation,1,scgpt,CEBPB+CEBPA,val,0.9650251602106183,0.4526900711182038,8.524699685397449,foundation_model,scGPT|Foundation Models
norman_from_scfoundation,1,scgpt,CEBPB+MAPK1,val,0.9871470977570793,0.4273748310201274,4.682558982972943,foundation_model,scGPT|Foundation Models
norman_from_scfoundation,1,scgpt,CEBPB+PTPN12,test,0.9958139355865832,0.7485594883847914,2.800314727051449,foundation_model,scGPT|Foundation Models
norman_from_scfoundation,1,scgpt,CEBPE+CEBPB,val,0.9769671770971847,0.5315571285739052,7.059380980651742,foundation_model,scGPT|Foundation Models
norman_from_scfoundation,1,scgpt,CEBPE+CNN1,test,0.9954557592781731,0.664629652288264,3.138014474517576,foundation_model,scGPT|Foundation Models
norman_from_scfoundation,1,scgpt,CEBPE+KLF1,val,0.9936764674359553,0.1427644964730385,3.601732670197475,foundation_model,scGPT|Foundation Models
norman_from_scfoundation,1,scgpt,CEBPE+RUNX1T1,val,0.994998039066845,0.4141598839186906,2.912806788360229,foundation_model,scGPT|Foundation Models
norman_from_scfoundation,1,scgpt,CEBPE+SPI1,test,0.9632203142473665,0.5930456045572337,9.674477223428532,foundation_model,scGPT|Foundation Models
norman_from_scfoundation,1,scgpt,CNN1+MAPK1,val,0.9958404588375543,0.5937509782032381,2.683683221778019,foundation_model,scGPT|Foundation Models
norman_from_scfoundation,1,scgpt,DUSP9+ETS2,test,0.9932238503531838,0.5433753494046187,3.405445059110483,foundation_model,scGPT|Foundation Models
norman_from_scfoundation,1,scgpt,DUSP9+IGDCC3,val,0.9868234266498543,0.6509651344900966,4.889043215681128,foundation_model,scGPT|Foundation Models
norman_from_scfoundation,1,scgpt,DUSP9+KLF1,val,0.981796796055951,0.4417253404350239,5.501159930220266,foundation_model,scGPT|Foundation Models
norman_from_scfoundation,1,scgpt,ETS2+IKZF3,val,0.977830286834353,0.6416972647087688,6.190460649382313,foundation_model,scGPT|Foundation Models
