dataset,seed,method,perturbation,split,pearson,pearson_delta,l2,approach,label
adamson,1,scgpt,ARHGAP22+ctrl,test,0.9925667491337018,0.8097975812521974,3.20937835732905,foundation_model,scGPT|Foundation Models
adamson,1,scgpt,BHLHE40+ctrl,test,0.9465839689638296,-0.3431381609971287,10.58616921104361,foundation_model,scGPT|Foundation Models
adamson,1,scgpt,CAD+ctrl,test,0.9672003037583677,0.4670519276795325,6.608327013829074,foundation_model,scGPT|Foundation Models
adamson,1,scgpt,COPB1+ctrl,test,0.9904580920873963,0.7619829654162538,3.572845262080152,foundation_model,scGPT|Foundation Models
adamson,1,scgpt,CREB1+ctrl,test,0.9516228454406406,-0.3827675685178017,10.16923165747824,foundation_model,scGPT|Foundation Models
adamson,1,scgpt,DAD1+ctrl,test,0.994124542317554,0.8629899166439727,2.837721373422149,foundation_model,scGPT|Foundation Models
adamson,1,scgpt,DDIT3+ctrl,test,0.9457998004793257,-0.4080249207868619,10.88102357332811,foundation_model,scGPT|Foundation Models
adamson,1,scgpt,DDRGK1+ctrl,test,0.9934892355438254,0.8351748316791415,2.980931349066816,foundation_model,scGPT|Foundation Models
adamson,1,scgpt,DERL2+ctrl,val,0.9931117448385919,0.8160493709924165,3.204210507699869,foundation_model,scGPT|Foundation Models
adamson,1,scgpt,DHDDS+ctrl,test,0.9773795886782419,0.6290419091458509,5.534854282074487,foundation_model,scGPT|Foundation Models
adamson,1,scgpt,DNAJC19+ctrl,val,0.9895911227739934,0.7660938554541417,3.781240867414778,foundation_model,scGPT|Foundation Models
adamson,1,scgpt,EIF2B2+ctrl,test,0.9687450081947846,0.5158266023498448,6.415948851803912,foundation_model,scGPT|Foundation Models
adamson,1,scgpt,EIF2B4+ctrl,val,0.9832248617556814,0.6727444399833722,4.734128188573158,foundation_model,scGPT|Foundation Models
adamson,1,scgpt,EIF2S1+ctrl,val,0.938927982547921,0.5170728877171423,8.96799882508107,foundation_model,scGPT|Foundation Models
adamson,1,scgpt,FECH+ctrl,test,0.9905933987629559,0.7598903524705396,3.528971976580502,foundation_model,scGPT|Foundation Models
adamson,1,scgpt,GNPNAT1+ctrl,test,0.9902269389317516,0.7576165547567512,3.590891741771267,foundation_model,scGPT|Foundation Models
adamson,1,scgpt,MANF+ctrl,test,0.9931804464854752,0.8258430058367886,3.100977835062873,foundation_model,scGPT|Foundation Models
adamson,1,scgpt,SAMM50+ctrl,test,0.9873922696934642,0.7175962777775114,4.186680688708345,foundation_model,scGPT|Foundation Models
adamson,1,scgpt,SEC61A1+ctrl,val,0.9763926339120198,0.6052530848107989,5.738369925713473,foundation_model,scGPT|Foundation Models
